tweet,selected_by_day,date,link,events,selected,journalist,keywords
Paoliello explique qu'elle voulait retracer auteur de la vidéo et contacter les «hébergeurs» pour qu'il la retire. #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522781058132344833,video,,@MessierSRC,Paoliello explique qu'elle voulait retracer auteur vidéo contacter hébergeurs retire #Magnotta
"Un collègue de Paoliello avait fait copie de la vidéo sur clé USB, qu'elle a sauvegardée sur serveur du SPVM. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522780855744606208,video,,@MessierSRC,collègue Paoliello avait fait copie vidéo clé USB qu'elle a sauvegardée serveur SPVM #Magnotta
"Vidéo durait 10 min. 22 sec. sur les 2 sites. Semblait être la même vidéo, qu'elle décrit. On la verra + tard, dit la Couronne. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522780402558468096,video,,@MessierSRC,Vidéo durait min sec 2 sites Semblait être même vidéo qu'elle décrit verra dit Couronne #Magnotta
Paoliello ne connaissait pas les deux sites «gore» qui hébergeaient la vidéo. Elle explique leur fonctionnement. #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522779998294646784,video,,@MessierSRC,Paoliello connaissait deux sites gore hébergeaient vidéo explique fonctionnement #Magnotta
"Paoliello a reçu cette demande des enquêteurs le 29 mai 2012, vers 20h. Après un courriel d'Ottawa reçu par SPVM. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522779750696501248,video,,@MessierSRC,Paoliello a reçu demande enquêteurs 29 mai courriel d'Ottawa reçu SPVM #Magnotta
"Paoliello dit avoir aidé les enquêteurs à sauvegarder la vidéo filmée par #Magnotta. Était sur deux sites, sous deux titres",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522779417534144512,video,,@MessierSRC,Paoliello dit avoir aidé enquêteurs sauvegarder vidéo filmée #Magnotta Était sites titres
"Paoliello explique aux jurés que la section des crimes technologiques aide enquêteurs dans dossiers avec Internet, etc. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522779128257605632,video,,@MessierSRC,Paoliello explique jurés section crimes technologiques aide enquêteurs dossiers Internet #Magnotta
Problème de traduction réglé. Témoignage de Nadine Paoliello de la section des crimes technologiques du SPVM reprend #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522778217829371905,procedure,,@MessierSRC,Problème traduction réglé Témoignage Nadine Paoliello section crimes technologiques SPVM reprend #Magnotta
Nouveau problème avec la traduction dans la salle d'audience. Pause. Jury quitte la salle. #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522776670978449408,procedure,,@MessierSRC,Nouveau problème traduction salle d'audience Pause quitte salle #Magnotta
"Fin du contre-interro. de Lee. Couronne appelle à la barre Nadine Paoliello, de la section des crimes technologiques SPVM. #Magnotta",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522776477205819392,procedure,,@MessierSRC,Fin contre-interro Lee Couronne appelle barre Nadine Paoliello section crimes technologiques SPVM #Magnotta
Les 4 boîtes postales que #Magnotta s'est fait rembourser avant 14h le 25 mai 2012 avaient été achetées env. 4h plus tôt.,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522775597953863681,colis,,@MessierSRC,4 boîtes postales #Magnotta s ' est fait rembourser 14h 25 mai avaient été achetées 4h
"Procès #Magnotta reprend. Me Leclair va contre-interroger Tomokazu Lee, qui a reçu deux colis de l'accusé le 25 mai 2012.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522774625986813952,procedure,,@MessierSRC,Procès #Magnotta reprend Me Leclair va contre-interroger a reçu colis l'accusé 25 mai
Fin de l'interrogatoire principal de Lee. Pause matinale. On revient pour contre-interro vers 11h20. #Magnotta,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522764747603976192,procedure,,@MessierSRC,Fin l'interrogatoire principal Lee Pause matinale revient #Magnotta
Lee n'a vu aucune différence dans l'apparence de #Magnotta entre le pm et la soirée. Rien de particulier dans son attitude.,,10/16/2014,https://twitter.com/#!/MessierSRC/status/522764447627374593,colis,,@MessierSRC,n ' a vu différence pm soirée particulier attitude
"#Magnotta avait sa facture pour le remboursement des 4 boîtes postales, dit Lee. Il en avait acheté 5.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522762396755300352,arrestation,,@MessierSRC,#Magnotta avait facture remboursement 4 boîtes postales dit Lee avait acheté
"#Magnotta s'exprimait en anglais. Échange minimal, dit Lee. Il avait pris ses coordonnées pour le remboursement.",,10/16/2014,https://twitter.com/#!/MessierSRC/status/522761897356300289,arrestation,,@MessierSRC,#Magnotta s ' exprimait anglais Échange minimal dit Lee avait pris coordonnées remboursement
