tweet,date,link,events,selected,journalist
«Comment pouvez-vous donner une opinion sur un instrument qui a été modifié devant vous?» s'insurge Leclair. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520580488755687424,juridique,,@MessierSRC
Me Leclair dit que la scie n'a pas été examinée dans l'état reçu. Dazé ne voit pas ce que ça change. Il ne l'a pas fait lui-même. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520580046420197376,arrestation,,@MessierSRC
"Dazé s'est alors penché sur trois armes, dont la scie oscillante. Il a fallu serré un boulon pour qu'elle fonctionne, dit Dazé #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520579714055159808,arme,,@MessierSRC
Rapport complémentaire du 17 sept. 2014 rédigé par Dazé après rencontre avec un nouvel expert en ballistique du SPVM #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520579239230599168,Profil témoin,,@MessierSRC
"Leclair dit que pour faire disparaître les empreintes digitales, il aurait fallu le faire à droite aussi. Dazé en convient. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520578330299736065,corps,,@MessierSRC
"Leclair note que la pulpe des doigts de la main droite de Lin Jun, n'a pas été découpée, comme à gauche. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520578051022008320,preuve,,@MessierSRC
Me Leclair dépose en preuve un «rapport complémentaire» que Yann Dazé a écrit le 17 septembre dernier. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520577415484289024,arrestation,,@MessierSRC
"Fin de l'interrogatoire de Dazé par la Couronne. Il est maintenant contre-interrogé par l'avocat de #Magnotta, Luc Leclair.",10/10/2014,https://twitter.com/#!/MessierSRC/status/520576705032110080,procedure,,@MessierSRC
Lin Jun ne présentait aucune «plaie de défense» dit Dazé. #Magnotta,10/10/2014,https://twitter.com/#!/MessierSRC/status/520576193616429056,corps,,@MessierSRC
"Procès #Magnotta reprend avec témoignage du pathologiste judiciaire Yann Dazé, qui a autopsié le corps de Lin Jun.",10/10/2014,https://twitter.com/#!/MessierSRC/status/520575870369812480,procedure,,@MessierSRC
Procès #Magnotta suspendu aussitôt commencé... Je vous reviens dès que possible.,10/10/2014,https://twitter.com/#!/MessierSRC/status/520570709740118016,procedure,,@MessierSRC
"Il n'était pas prévu que le jury siège aujourd'hui, mais l'expert Dazé n'est pas disponible la semaine prochaine. #Magnotta",10/10/2014,https://twitter.com/#!/MessierSRC/status/520568417850753024,procedure,,@MessierSRC
Procès #Magnotta reprend au palais de justice de Montréal. Nouveau débat hors jury pour commencer.,10/10/2014,https://twitter.com/#!/MessierSRC/status/520567424966729728,procedure,,@MessierSRC
10 abonnés de plus depuis que mon compte a été certifié par Twitter hier. Tous des Américains qui n'ont aucune idée de ce que j'écris #weird,10/10/2014,https://twitter.com/#!/MessierSRC/status/520547160333746176,,,@MessierSRC
Le témoignage du pathologiste est terminé. Le jury pourra bientôt profiter d'un long congé #Magnotta,10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520596428130107392,procédure,,@IsabelleRicher
"Quel spectacle désolant de la part de l'avocat de #Magnotta Après la scie, le marteau!",10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520590143506636800,arme,,@IsabelleRicher
L'avocat #Magnotta continue ses sparages en donnant un coup de marteau sur la table pour illustrer la force de l'impact sur la victime.,10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520589421364916224,arme,,@IsabelleRicher
L'avocat de #Magnotta manipule la scie oscillante en cour et la fait partir. #etrangestrategie,10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520585854734323713,ambiance,,@IsabelleRicher
L'avocat de #Magnotta suggère que le pathologiste est un incompétent pcq il n'a pas regardé la vidéo.,10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520582579653988352,ambiance,,@IsabelleRicher
Maintenant au tour de l'avocat de #Magnotta de procéder du contre interrogatoire,10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520577220721778688,Profil témoin,,@IsabelleRicher
Le pathologiste judiciaire Yann Dazé poursuit son témoignage et affirme que la victime de #Magnotta ne présentait aucune plaie de défense,10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520577049933930496,corps,,@IsabelleRicher
"A #9h #rdi #SLL bilan de la semaine 2 du procès #Magnotta avec Bertrand St-Arnaud, @StephBerthomet parle des agressions dans les taxis",10/10/2014,https://twitter.com/#!/@IsabelleRicher/status/520559543131332609,,,@IsabelleRicher
"Fin de la journée au procès #Magnotta. Couronne croit avoir fini avec Prévost. Elle reviendra néanmoins demain, au moins pour contre-interro",10/14/2014,https://twitter.com/#!/MessierSRC/status/522114599391600640,procedure,,@MessierSRC
Conclusion du rapport Prévost : Lin Jun «a perdu beaucoup de sang sur le lit» #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522113481022382080,appartement,,@MessierSRC
"Sang présent sur parties du marteau, du tournevis et scie oscillante correspondait au profil de Lin Jun, dit Prévost. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522110991354826752,arme,,@MessierSRC
"Couteau retrouvé sur scène de crime présentait preuve d'ADN correspondant à Lin Jun, dit Prévost. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522109338794864640,preuve,,@MessierSRC
Procès #Magnotta reprend. La biologiste judiciaire Jacinthe Prévost explique preuves d'ADN retrouvées sur scènes de crime.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522107943018594304,procedure,,@MessierSRC
Pause de 20 minutes au procès #Magnotta.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522101754738262016,procedure,,@MessierSRC
"Prévost explique ce qu'elle a trouvé sur des vêtements. Sur chandail mauve, par ex., il y a le sperme de #Magnotta + sang de Lin Jun.",10/14/2014,https://twitter.com/#!/MessierSRC/status/522100231518027777,appartement,,@MessierSRC
"Tests pour détecter présence de sperme dans le corps de la victime sont non concluants, dit Prévost. Pas exclu, mais pas prouvé. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522096371491700736,preuve,,@MessierSRC
Prévost poursuit son témoignage en décrivant ce qu'elle a trouvé sur d'autres items retrouvés sur la scène du crime. #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522092058790858752,-,,@MessierSRC
"Le couvre-matelas retrouvé dans appart. de #Magnotta contenait sang correspondant au profil génétique de Lin Jun, confirme Prévost.",10/14/2014,https://twitter.com/#!/MessierSRC/status/522091609404747776,preuve,,@MessierSRC
Procès #Magnotta reprend avec témoignage de biologiste judiciaire Jacynthe Prévost.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522090594618064897,procedure,,@MessierSRC
Pause du midi au procès #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522059995895316480,video,,@MessierSRC
"Luminol a révélé d'autres traces de sang dans l'appartement, près du lit, derrière divan, dans le bain, notamment, dit Prévost. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522059820699254784,appartement,,@MessierSRC
"Après avoir parcouru appartement en photos, Prévost parle de son travail avec le luminol, qui agit comme révélateur de sang #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522058430404902912,appartement,,@MessierSRC
"Prévost est d'avis que le matelas a été retourné, comme s'il y avait eu «tentative de camouflage» #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522057834641756160,appartement,,@MessierSRC
"Il y a eu «énormément» de sang sur le matelas, estime Prévost. Sang apparent «de bord en bord» du matelas, précise-t-elle. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522057027989041153,appartement,,@MessierSRC
"Lit de #Magnotta était couvert d'un drap brun neuf, sous lequel se trouvait rideau de douche bourgogne, qui cachait du sang, dit Prévost.",10/14/2014,https://twitter.com/#!/MessierSRC/status/522056430053261312,appartement,,@MessierSRC
"Le sang de Lin Jun retrouvé sur calorifère semble indiquer que la source provenait du pied du lit, dit Prévost. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522055837062561792,appartement,,@MessierSRC
"«D'innombrables» petites gouttes de sang retrouvées sur calorifère, dit Prévost. Une «grande force» appliquée sur la source, donc. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522054735449583616,appartement,,@MessierSRC
Prévost explique que des gouttes de sang «en mouvement» ont été trouvées près du lit. Décrit méticuleusement leur parcours. #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522054080672575488,appartement,,@MessierSRC
Prévost décrit maintenant taches de sang de Lin Jun retrouvées dans la cuisine de l'appartement de #Magnotta.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522051474650832896,appartement,,@MessierSRC
Prévost décrit longuement les taches de sang de Lin Jun retrouvées dans la salle de bain de l'appartement de #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522049896367808512,appartement,,@MessierSRC
Prévost commente les photos prises dans l'appartement. Elle explique les endroits où du sang a été retrouvé. #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522046951928627200,appartement,,@MessierSRC
"Couronne présente des photos prises dans l'appartement où Lin Jun est mort, à la demande de Prévost #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522046501544292352,preuve,,@MessierSRC
Procès #Magnotta reprend avec la suite du témoignage de la biologiste judiciaire Jacynthe Prévost.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522046061696020480,procedure,,@MessierSRC
Prévost explique avoir retrouvé profil génétique (ADN) de Jun Lin et #Magnotta (appelé individu 1 dans rapport) avec son travail.,10/14/2014,https://twitter.com/#!/MessierSRC/status/522037635397984257,appartement,,@MessierSRC
Prévost a reçu 94 pièces à analyser à différents moments. #Magnotta,10/14/2014,https://twitter.com/#!/MessierSRC/status/522035890361999361,Profil témoin,,@MessierSRC
"Rapport principal de Prévost fait 23 pages. On y explique notamment les pièces reçues, des descriptions, etc. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522035474052161536,preuve,,@MessierSRC
"Rapport principal de Prévost déposé en mars 2013. Elle en fera trois autres, plus brefs, dont le dernier, en juin dernier. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522035198863884288,preuve,,@MessierSRC
"Prévost explique comment elle a fait des prélèvements pour faire son travail, comment elle les a analysés, avec du luminol. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522034372648914944,appartement,,@MessierSRC
"Prévost dit avoir regardé vidéo seconde fois de son propre chef, lorsqu'elle a commencé à se pencher sur des pièces. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522033935766020096,appartement,,@MessierSRC
"Prévost explique qu'elle a vu un corps mutilé sur un lit, qqun avec un capuchon qui semblait s'acharner dessus. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522033746070237185,appartement,,@MessierSRC
"Le SPVM m'expliqué certains éléments de l'enquête, dit Prévost. On m'a proposé de voir vidéo et j'ai accepté. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522033380704415744,-,,@MessierSRC
"Prévost explique avoir entrepris son travail à 4h22, le 30 mai 2012, dans l'appartement de #Magnotta. Y est restée 2h30 environ.",10/14/2014,https://twitter.com/#!/MessierSRC/status/522032887101935616,appartement,,@MessierSRC
"Sur ce, avocat de la Couronne, Louis Bouthillier, entreprend son interrogatoire de Jacynthe Prévost. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522032466723631104,procedure,,@MessierSRC
"Finalement, après qq questions, Prévost est autorisée à témoigner comme experte en bio judiciaire et en «taches et projections» #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522032278319681536,Paris,,@MessierSRC
"Fin du témoignage du policier Devola. Nouveau témoin: Jacynthe Prévost, biologiste judiciaire. #Magnotta",10/14/2014,https://twitter.com/#!/MessierSRC/status/522030040746565633,procedure,,@MessierSRC
