"tweet","date","link"
"#Magnotta avait des problèmes dans ses relations. Se sentait abandonné, trahi, explique Paris. Disait s'être déjà mutilé, tenté suicides","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537271370061991937"
"Dernière épisode du genre décrit par #Magnotta remontait à son voyage à Londres quatre mois plus tôt. Avait dépensé bcp.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537270236194803713"
"#Magnotta décrivait des hauts et des bas, durant des heures ou des jours. Parlait lui-même de phases maniaques, dit Paris.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537269894275158016"
"#Magnotta m'avait dit avoir été suivi en psychiatrie en Ontario, voulait faire de même au Québec. Mais pas clair pourquoi, dit Paris","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537269518704590850"
"#Magnotta était cohérent quand je l'ai vu dit Paris. Aucune preuve qu'il n'était pas logique, dit-il. Sur ce, on l'interroge sur son rapport","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537269298985971713"
"Paris dit avoir immédiatement reconnu #Magnotta quand l'affaire a été médiatisée.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537268916733874178"
"C'était un cas «difficile et compliqué», dit Paris. Il dit qu'il ne connaissait pas l'historique médical de #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537268585820078080"
"#Magnotta nous avait été référé pour consultation et évaluation, dit Paris. Il l'a rencontré une heure, ce qui est normal, dit-il","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537268374003535873"
"Paris est déclaré expert en psychiatrie. Il dit avoir rencontré #Magnotta en avril 2012 avec un résident. Il explique","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537268087574528000"
"Dr Paris interrogé sur le trouble de la personnalité. Plusieurs cas possibles selon DSM #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537267515232382976"
"La Couronne veut que le Dr Paris soit déclaré témoin expert. Il décline sa formation, ses expériences professionnelles #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537266956412682241"
"La Couronne entreprend sa contre-preuve. 1er témoin, le psy Joel Paris, qui a vu #Magnotta en avril 2012 à l'hôpital général juif","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537266427951337472"
"Fin du témoignage de Michel Bourque. La preuve de la défense est maintenant close. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537265923452051456"
"Fin de l'interrogatoire de Michel Bourque. Il est maintenant contre-interrogé par la Couronne. #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537265559281614849"
"Bourque interrogé sur d'autres mandats similaires. #Magnotta changeait souvent de numéros de tél. pendant hiver-printemps 2012","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537264096325148672"
"Bourque interrogé sur un compte avec carte prépayée de Public Mobile activé le 12 déc. 2011 par #Magnotta sous le nom de Chris Lemieux","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537263313722548225"
"Avocat de #Magnotta interroge Bourque sur la production de registres téléphoniques.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537261953862078464"
"Bourque est de l'escouade des crimes majeurs du SPVM. Il est l'enquêteur principal dans le dossier #Magnotta","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537261624990908416"
"Procès #Magnotta reprend devant jury. Nouveau témoin de la défense est le sergent-détective Michel Bourque du SPVM","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537261401484832768"
"Le procès #Magnotta devrait reprendre à 10h ce matin. Des discussions hors jury ont déjà eu lieu.","Nov 25, 2014","https://twitter.com/#!/MessierSRC/status/537254994609987584"
"Jury de retour dans la salle au procès #Magnotta. Le juge leur annonce que le procès ne reprendra finalement que mardi matin.","Nov 24, 2014","https://twitter.com/#!/MessierSRC/status/536909730065965056"
"Procès #Magnotta suspendu après une 20aine de minutes de discussions hors jury. Retour à 10h30.","Nov 24, 2014","https://twitter.com/#!/MessierSRC/status/536894854727737344"
"Jury de retour dans la salle. Juge explique sommairement décision de suspendre le procès jusqu'à lundi. Leur souhaite bon week-end #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535511531522650112"
"Procès #Magnotta ne reprendra finalement pas. La défense interrogera son prochain - et possiblement dernier - témoin lundi.","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535510745572986881"
"Pause du midi au procès #Magnotta. De retour à 14h.","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535479957569679360"
"Témoin ne peut commenter comportement ou allure de #Magnotta le soir de sa plainte. Fin de ce témoignage. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535479845963452418"
"Avocat de #Magnotta allègue que le témoin s'est moqué de lui en 2010. Témoin nie, dit respecter les gens qui portent plainte.","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535479490768826368"
"Le témoin a rédigé un procès-verbal à la suite d'allégations faites par #Magnotta en 2010. Mais il ne se souvient pas de lui...","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535478396139339776"
"Nouveau témoin de la défense est un policier français, Frédéric Mounichi (?). Témoignage enregistré le 20 juin dernier. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535478030685466624"
"Fin de ce témoignage de Marta. On présume que Nathan était #Magnotta, mais ça n'a pas été dit clairement...","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535477198925594625"
"Finalement, Marta dit qu'il n'a jamais rencontré ce Nathan. Il n'y a pas eu de suite, ne sait pas s'il est venu en France. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535476588079767552"
"Avocat de #Magnotta présente le texto envoyé à «Nathan» par Marta. «Hope to see you here in June. Will be a pleasure. XXX JM»","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535475481496543233"
"Marta a envoyé un texto à ce Canadien, qui s'appelait Nathan, lui a envoyé ses coordonnées à Paris #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535474701842538496"
"Le Canadien «sympa» rencontré par Michel disait qu'il s'en allait en France en juin. Il m'a proposé de le rencontrer, dit Marta #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535474472393117696"
"25 avril 2012: Marta a été en contact avec son ami Michel, qui se trouvait au Canada. Il disait avoir rencontré un Canadien #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535474132700659712"
"Marta habite Paris, travaille pour Total, est gai, a un ami qui s'appelle Michel Deschodt. Aucune idée où tout ça mène... #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535473085148045313"
"Témoignage de Marta a été enregistré en France le 26 juin dernier. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535472642770599937"
"Témoignage de Paradiso terminé. Défense fera entendre Jean-Marc Marta. Témoignage enregistré devant commission rogatoire. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535471997258842113"
"Contre-interro de la Couronne: Paradiso ne peut dire qui a fait les deux appels à Vancouver le 25 mai 2012 finalement #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535471010490093569"
"Correction : Paradiso plutôt policier aux crimes majeurs. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535467940171505664"
"Nouveau témoin de la défense est le policier Antonio Paradiso, de l'unité des crimes technologiques du SPVM. #Magnotta","Nov 20, 2014","https://twitter.com/#!/MessierSRC/status/535467227936739328"
